Coverage_%,Accuracy_ScoreGap,Accuracy_MaxScore,Accuracy_Random
8.333333333333332,0.0,0.0,0.0
16.666666666666664,0.0,0.0,0.0
25.0,0.0,0.0,0.0
33.33333333333333,25.0,25.0,25.0
41.66666666666667,20.0,40.0,20.0
50.0,16.666666666666664,50.0,16.666666666666664
58.333333333333336,14.285714285714285,42.857142857142854,14.285714285714285
66.66666666666666,12.5,37.5,12.5
75.0,11.11111111111111,33.33333333333333,11.11111111111111
83.33333333333334,20.0,30.0,20.0
91.66666666666666,18.181818181818183,27.27272727272727,18.181818181818183
100.0,25.0,25.0,25.0
