retriever,n,max_score,gap_ctx,gap_25
bm25,1384,0.5404849841369159,0.5712746948639722,0.5805237862273576
sbert,1384,0.5422936925029633,0.6311367760749389,0.652115261562346
contriever,1384,0.5272246357343957,0.5946511765052781,0.6071162570248493
e5,1384,0.5180551291770302,0.5918471553068986,0.6098584284070429
bge,1384,0.537321399937548,0.6024550387793166,0.630574263024196
sf,1384,0.5115754518968704,0.615662625439888,0.6430458527823898
inst-l,1384,0.5455637571389109,0.6406667908681901,0.6616761209722837
inst-xl,1384,0.5125595238095239,0.6337531328320802,0.6511121553884711
qwen,1384,0.537793665904641,0.6046576389293647,0.627183807926362
qwen2,1384,0.4856715599317856,0.6168770513578596,0.6581912915306236
nomic,1384,0.600996916839846,0.6442633631996729,0.6653653374442134
rader,1384,0.4854486173167492,0.6477610301786125,0.6622674029267436
reasonir,1384,0.4843425833464337,0.6114750940463511,0.6413950079598971
diver-retriever,1384,0.47408643882219526,0.6268672036913933,0.6405217416806789
