Coverage_%,Accuracy_ScoreGap,Accuracy_MaxScore,Accuracy_Random
0.0722543352601156,0.0,0.0,0.0
0.1445086705202312,50.0,50.0,50.0
0.2167630057803468,66.66666666666666,33.33333333333333,66.66666666666666
0.2890173410404624,50.0,25.0,50.0
0.36127167630057805,40.0,20.0,40.0
0.4335260115606936,33.33333333333333,33.33333333333333,33.33333333333333
0.5057803468208093,28.57142857142857,28.57142857142857,28.57142857142857
0.5780346820809248,37.5,25.0,37.5
0.6502890173410405,33.33333333333333,33.33333333333333,33.33333333333333
0.7225433526011561,30.0,30.0,30.0
0.7947976878612716,27.27272727272727,36.36363636363637,27.27272727272727
0.8670520231213872,33.33333333333333,33.33333333333333,33.33333333333333
0.9393063583815029,30.76923076923077,30.76923076923077,30.76923076923077
1.0115606936416186,35.714285714285715,28.57142857142857,35.714285714285715
1.083815028901734,40.0,26.666666666666668,40.0
1.1560693641618496,37.5,25.0,37.5
1.2283236994219653,35.294117647058826,23.52941176470588,35.294117647058826
1.300578034682081,33.33333333333333,22.22222222222222,33.33333333333333
1.3728323699421965,31.57894736842105,21.052631578947366,31.57894736842105
1.4450867052023122,30.0,20.0,30.0
1.5173410404624277,28.57142857142857,19.047619047619047,28.57142857142857
1.5895953757225432,27.27272727272727,18.181818181818183,27.27272727272727
1.6618497109826589,30.434782608695656,17.391304347826086,30.434782608695656
1.7341040462427744,29.166666666666668,20.833333333333336,29.166666666666668
1.8063583815028903,28.000000000000004,20.0,28.000000000000004
1.8786127167630058,26.923076923076923,19.230769230769234,26.923076923076923
1.9508670520231215,25.925925925925924,18.51851851851852,25.925925925925924
2.023121387283237,25.0,17.857142857142858,25.0
2.0953757225433525,24.137931034482758,17.24137931034483,24.137931034482758
2.167630057803468,23.333333333333332,16.666666666666664,23.333333333333332
2.239884393063584,22.58064516129032,19.35483870967742,22.58064516129032
2.312138728323699,21.875,21.875,21.875
2.384393063583815,21.21212121212121,24.242424242424242,21.21212121212121
2.4566473988439306,23.52941176470588,23.52941176470588,23.52941176470588
2.5289017341040463,22.857142857142858,22.857142857142858,22.857142857142858
2.601156069364162,22.22222222222222,22.22222222222222,22.22222222222222
2.6734104046242777,21.62162162162162,21.62162162162162,21.62162162162162
2.745664739884393,21.052631578947366,21.052631578947366,21.052631578947366
2.8179190751445087,20.51282051282051,20.51282051282051,20.51282051282051
2.8901734104046244,20.0,20.0,20.0
2.9624277456647397,19.51219512195122,19.51219512195122,19.51219512195122
3.0346820809248554,19.047619047619047,21.428571428571427,19.047619047619047
3.106936416184971,18.6046511627907,20.930232558139537,18.6046511627907
3.1791907514450863,18.181818181818183,20.454545454545457,18.181818181818183
3.251445086705202,20.0,20.0,20.0
3.3236994219653178,19.565217391304348,19.565217391304348,19.565217391304348
3.395953757225433,19.148936170212767,19.148936170212767,19.148936170212767
3.4682080924855487,18.75,18.75,18.75
3.540462427745665,20.408163265306122,20.408163265306122,20.408163265306122
3.6127167630057806,22.0,20.0,22.0
3.6849710982658963,21.568627450980394,19.607843137254903,21.568627450980394
3.7572254335260116,21.153846153846153,19.230769230769234,21.153846153846153
3.8294797687861273,20.754716981132077,18.867924528301888,20.754716981132077
3.901734104046243,20.37037037037037,18.51851851851852,20.37037037037037
3.9739884393063587,20.0,18.181818181818183,20.0
4.046242774566474,19.642857142857142,17.857142857142858,19.642857142857142
4.118497109826589,19.298245614035086,17.543859649122805,19.298245614035086
4.190751445086705,20.689655172413794,18.96551724137931,20.689655172413794
4.263005780346821,20.33898305084746,18.64406779661017,20.33898305084746
4.335260115606936,20.0,20.0,20.0
4.407514450867052,19.672131147540984,21.311475409836063,19.672131147540984
4.479768786127168,19.35483870967742,20.967741935483872,19.35483870967742
4.552023121387283,19.047619047619047,20.634920634920633,19.047619047619047
4.624277456647398,20.3125,20.3125,20.3125
4.696531791907514,20.0,21.53846153846154,20.0
4.76878612716763,21.21212121212121,21.21212121212121,21.21212121212121
4.841040462427745,20.8955223880597,20.8955223880597,20.8955223880597
4.913294797687861,20.588235294117645,20.588235294117645,20.588235294117645
4.985549132947977,21.73913043478261,20.28985507246377,21.73913043478261
5.057803468208093,21.428571428571427,20.0,21.428571428571427
5.130057803468208,21.12676056338028,21.12676056338028,21.12676056338028
5.202312138728324,20.833333333333336,20.833333333333336,20.833333333333336
5.27456647398844,20.54794520547945,20.54794520547945,20.54794520547945
5.346820809248555,21.62162162162162,20.27027027027027,21.62162162162162
5.41907514450867,21.333333333333336,20.0,21.333333333333336
5.491329479768786,22.36842105263158,19.736842105263158,22.36842105263158
5.563583815028902,23.376623376623375,19.480519480519483,23.376623376623375
5.635838150289017,24.358974358974358,19.230769230769234,24.358974358974358
5.708092485549133,25.31645569620253,18.9873417721519,25.31645569620253
5.780346820809249,25.0,18.75,25.0
5.852601156069364,25.925925925925924,19.753086419753085,25.925925925925924
5.924855491329479,25.609756097560975,19.51219512195122,25.609756097560975
5.997109826589595,25.301204819277107,19.27710843373494,25.301204819277107
6.069364161849711,26.190476190476193,19.047619047619047,26.190476190476193
6.141618497109826,25.882352941176475,18.823529411764707,25.882352941176475
6.213872832369942,25.581395348837212,18.6046511627907,25.581395348837212
6.286127167630058,25.287356321839084,18.39080459770115,25.287356321839084
6.358381502890173,25.0,18.181818181818183,25.0
6.430635838150289,25.842696629213485,19.101123595505616,25.842696629213485
6.502890173410404,25.555555555555554,20.0,25.555555555555554
6.575144508670521,26.373626373626376,20.87912087912088,26.373626373626376
6.6473988439306355,27.173913043478258,20.652173913043477,27.173913043478258
6.719653179190751,26.881720430107524,20.43010752688172,26.881720430107524
6.791907514450866,27.659574468085108,20.212765957446805,27.659574468085108
6.864161849710983,27.368421052631582,20.0,27.368421052631582
6.9364161849710975,27.083333333333332,19.791666666666664,27.083333333333332
7.008670520231214,26.804123711340207,19.587628865979383,26.804123711340207
7.08092485549133,27.55102040816326,19.387755102040817,27.55102040816326
7.153179190751445,27.27272727272727,19.19191919191919,27.27272727272727
7.225433526011561,28.000000000000004,19.0,28.000000000000004
7.297687861271676,27.722772277227726,18.81188118811881,27.722772277227726
7.369942196531793,28.431372549019606,18.627450980392158,28.431372549019606
7.442196531791907,28.155339805825243,18.446601941747574,28.155339805825243
7.514450867052023,27.884615384615387,18.269230769230766,27.884615384615387
7.586705202312139,27.61904761904762,19.047619047619047,27.61904761904762
7.658959537572255,27.358490566037734,18.867924528301888,27.358490566037734
7.731213872832369,27.102803738317753,18.69158878504673,27.102803738317753
7.803468208092486,26.851851851851855,18.51851851851852,26.851851851851855
7.875722543352601,26.605504587155966,18.34862385321101,26.605504587155966
7.947976878612717,27.27272727272727,18.181818181818183,27.27272727272727
8.020231213872831,27.027027027027028,18.01801801801802,27.027027027027028
8.092485549132949,27.67857142857143,17.857142857142858,27.67857142857143
8.164739884393063,27.43362831858407,17.699115044247787,27.43362831858407
8.236994219653178,28.07017543859649,18.421052631578945,28.07017543859649
8.309248554913294,28.695652173913043,18.26086956521739,28.695652173913043
8.38150289017341,28.448275862068968,18.103448275862068,28.448275862068968
